unique_id,reads,np_repeat
324978m_E01_ZM111.fsa,35,8
324978m_E01_ZM111.fsa,58,8
324978m_E01_ZM111.fsa,45,9
324978m_E01_ZM111.fsa,64,10
324978m_E01_ZM111.fsa,87,10
324978m_E01_ZM111.fsa,69,11
324978m_E01_ZM111.fsa,47,11
324978m_E01_ZM111.fsa,31,12
324978m_E01_ZM111.fsa,47,12
324978m_E01_ZM111.fsa,46,13
324978m_E01_ZM111.fsa,54,14
324978m_E01_ZM111.fsa,59,14
324978m_E01_ZM111.fsa,54,14
324978m_E01_ZM111.fsa,287,15
324978m_E01_ZM111.fsa,155,15
324978m_E01_ZM111.fsa,166,16
324978m_E01_ZM111.fsa,56,16
324978m_E01_ZM111.fsa,39,16
324978m_E01_ZM111.fsa,309,16
324978m_E01_ZM111.fsa,138,16
324978m_E01_ZM111.fsa,1177,16
324978m_E01_ZM111.fsa,2676,16
324978m_E01_ZM111.fsa,81,16
324978m_E01_ZM111.fsa,17034,17
324978m_E01_ZM111.fsa,117,17
324978m_E01_ZM111.fsa,31281,18
324978m_E01_ZM111.fsa,31281,18
324978m_E01_ZM111.fsa,479,19
324978m_E01_ZM111.fsa,106,20
324978m_E01_ZM111.fsa,32,21
324978m_E01_ZM111.fsa,56,21
324978m_E01_ZM111.fsa,78,22
324978m_E01_ZM111.fsa,61,23
324978m_E01_ZM111.fsa,94,24
324978m_E01_ZM111.fsa,43,24
324978m_E01_ZM111.fsa,52,25
324978m_E01_ZM111.fsa,35,26
324978m_E01_ZM111.fsa,63,26
324978m_E01_ZM111.fsa,31,27
324978m_E01_ZM111.fsa,73,27
324978m_E01_ZM111.fsa,91,28
324978m_E01_ZM111.fsa,92,28
324978m_E01_ZM111.fsa,144,29
324978m_E01_ZM111.fsa,167,29
324978m_E01_ZM111.fsa,49,30
324978m_E01_ZM111.fsa,66,30
324978m_E01_ZM111.fsa,47,30
324978m_E01_ZM111.fsa,98,31
324978m_E01_ZM111.fsa,55,31
324978m_E01_ZM111.fsa,88,32
324978m_E01_ZM111.fsa,63,32
324978m_E01_ZM111.fsa,101,33
324978m_E01_ZM111.fsa,71,33
324978m_E01_ZM111.fsa,87,34
324978m_E01_ZM111.fsa,75,34
324978m_E01_ZM111.fsa,97,35
324978m_E01_ZM111.fsa,88,35
324978m_E01_ZM111.fsa,89,36
324978m_E01_ZM111.fsa,69,36
324978m_E01_ZM111.fsa,104,37
324978m_E01_ZM111.fsa,58,37
324978m_E01_ZM111.fsa,67,37
324978m_E01_ZM111.fsa,74,37
324978m_E01_ZM111.fsa,101,38
324978m_E01_ZM111.fsa,146,39
324978m_E01_ZM111.fsa,266,40
324978m_E01_ZM111.fsa,547,41
324978m_E01_ZM111.fsa,1218,42
324978m_E01_ZM111.fsa,84,42
324978m_E01_ZM111.fsa,291,42
324978m_E01_ZM111.fsa,2826,42
324978m_E01_ZM111.fsa,121,42
324978m_E01_ZM111.fsa,8197,43
324978m_E01_ZM111.fsa,74,43
324978m_E01_ZM111.fsa,19193,44
324978m_E01_ZM111.fsa,143,44
324978m_E01_ZM111.fsa,26354,45
324978m_E01_ZM111.fsa,622,46
324978m_E01_ZM111.fsa,86,47
324978m_E01_ZM111.fsa,54,49
324978m_E01_ZM111.fsa,50,51
324978m_E01_ZM111.fsa,36,52
324978m_E01_ZM111.fsa,62,53
324978m_E01_ZM111.fsa,89,54
324978m_E01_ZM111.fsa,129,123
324978m_E01_ZM111.fsa,44,124
324978m_E01_ZM111.fsa,93,126
324978m_E01_ZM111.fsa,38,127
324978m_E01_ZM111.fsa,31,128
324978m_E02_ZM112.fsa,49,7
324978m_E02_ZM112.fsa,38,8
