Sample,Repeat,Read_No
DMPX_BM1-N701-A-S502-A_S1_L001,1,0
DMPX_BM1-N701-A-S502-A_S1_L001,2,0
DMPX_BM1-N701-A-S502-A_S1_L001,3,2
DMPX_BM1-N701-A-S502-A_S1_L001,4,2
DMPX_BM1-N701-A-S502-A_S1_L001,5,6
DMPX_BM1-N701-A-S502-A_S1_L001,6,1
DMPX_BM1-N701-A-S502-A_S1_L001,7,2
DMPX_BM1-N701-A-S502-A_S1_L001,8,5
DMPX_BM1-N701-A-S502-A_S1_L001,9,5
DMPX_BM1-N701-A-S502-A_S1_L001,10,8
DMPX_BM1-N701-A-S502-A_S1_L001,11,20
DMPX_BM1-N701-A-S502-A_S1_L001,12,30
DMPX_BM1-N701-A-S502-A_S1_L001,13,104
DMPX_BM1-N701-A-S502-A_S1_L001,14,467
DMPX_BM1-N701-A-S502-A_S1_L001,15,2917
DMPX_BM1-N701-A-S502-A_S1_L001,16,16177
DMPX_BM1-N701-A-S502-A_S1_L001,17,219
DMPX_BM1-N701-A-S502-A_S1_L001,18,47
DMPX_BM1-N701-A-S502-A_S1_L001,19,13
DMPX_BM1-N701-A-S502-A_S1_L001,20,11
DMPX_BM1-N701-A-S502-A_S1_L001,21,12
DMPX_BM1-N701-A-S502-A_S1_L001,22,6
DMPX_BM1-N701-A-S502-A_S1_L001,23,9
DMPX_BM1-N701-A-S502-A_S1_L001,24,9
DMPX_BM1-N701-A-S502-A_S1_L001,25,6
DMPX_BM1-N701-A-S502-A_S1_L001,26,13
DMPX_BM1-N701-A-S502-A_S1_L001,27,15
DMPX_BM1-N701-A-S502-A_S1_L001,28,22
DMPX_BM1-N701-A-S502-A_S1_L001,29,24
DMPX_BM1-N701-A-S502-A_S1_L001,30,27
DMPX_BM1-N701-A-S502-A_S1_L001,31,35
DMPX_BM1-N701-A-S502-A_S1_L001,32,52
DMPX_BM1-N701-A-S502-A_S1_L001,33,61
DMPX_BM1-N701-A-S502-A_S1_L001,34,94
DMPX_BM1-N701-A-S502-A_S1_L001,35,133
DMPX_BM1-N701-A-S502-A_S1_L001,36,199
DMPX_BM1-N701-A-S502-A_S1_L001,37,505
DMPX_BM1-N701-A-S502-A_S1_L001,38,1287
DMPX_BM1-N701-A-S502-A_S1_L001,39,3640
DMPX_BM1-N701-A-S502-A_S1_L001,40,8197
DMPX_BM1-N701-A-S502-A_S1_L001,41,13704
DMPX_BM1-N701-A-S502-A_S1_L001,42,3364
DMPX_BM1-N701-A-S502-A_S1_L001,43,715
DMPX_BM1-N701-A-S502-A_S1_L001,44,333
DMPX_BM1-N701-A-S502-A_S1_L001,45,69
DMPX_BM1-N701-A-S502-A_S1_L001,46,19
DMPX_BM1-N701-A-S502-A_S1_L001,47,16
DMPX_BM1-N701-A-S502-A_S1_L001,48,8
DMPX_BM1-N701-A-S502-A_S1_L001,49,2
DMPX_BM1-N701-A-S502-A_S1_L001,50,3
DMPX_BM1-N701-A-S502-A_S1_L001,51,0
DMPX_BM1-N701-A-S502-A_S1_L001,52,1
DMPX_BM1-N701-A-S502-A_S1_L001,53,2
DMPX_BM1-N701-A-S502-A_S1_L001,54,4
DMPX_BM1-N701-A-S502-A_S1_L001,55,0
DMPX_BM1-N701-A-S502-A_S1_L001,56,1
DMPX_BM1-N701-A-S502-A_S1_L001,57,0
DMPX_BM1-N701-A-S502-A_S1_L001,58,2
DMPX_BM1-N701-A-S502-A_S1_L001,59,0
DMPX_BM1-N701-A-S502-A_S1_L001,60,0
DMPX_BM1-N701-A-S502-A_S1_L001,61,0
DMPX_BM1-N701-A-S502-A_S1_L001,62,1
DMPX_BM1-N701-A-S502-A_S1_L001,63,0
DMPX_BM1-N701-A-S502-A_S1_L001,64,0
DMPX_BM1-N701-A-S502-A_S1_L001,65,0
DMPX_BM1-N701-A-S502-A_S1_L001,66,2
DMPX_BM1-N701-A-S502-A_S1_L001,67,2
DMPX_BM1-N701-A-S502-A_S1_L001,68,1
DMPX_BM1-N701-A-S502-A_S1_L001,69,0
DMPX_BM1-N701-A-S502-A_S1_L001,70,1
DMPX_BM1-N701-A-S502-A_S1_L001,71,0
DMPX_BM1-N701-A-S502-A_S1_L001,72,1
DMPX_BM1-N701-A-S502-A_S1_L001,73,0
DMPX_BM1-N701-A-S502-A_S1_L001,74,0
DMPX_BM1-N701-A-S502-A_S1_L001,75,0
DMPX_BM1-N701-A-S502-A_S1_L001,76,0
DMPX_BM1-N701-A-S502-A_S1_L001,77,0
DMPX_BM1-N701-A-S502-A_S1_L001,78,0
DMPX_BM1-N701-A-S502-A_S1_L001,79,0
DMPX_BM1-N701-A-S502-A_S1_L001,80,2
DMPX_BM1-N701-A-S502-A_S1_L001,81,0
DMPX_BM1-N701-A-S502-A_S1_L001,82,0
DMPX_BM1-N701-A-S502-A_S1_L001,83,0
DMPX_BM1-N701-A-S502-A_S1_L001,84,0
DMPX_BM1-N701-A-S502-A_S1_L001,85,0
DMPX_BM1-N701-A-S502-A_S1_L001,86,0
DMPX_BM1-N701-A-S502-A_S1_L001,87,1
DMPX_BM1-N701-A-S502-A_S1_L001,88,0
DMPX_BM1-N701-A-S502-A_S1_L001,89,0
DMPX_BM1-N701-A-S502-A_S1_L001,90,0
DMPX_BM1-N701-A-S502-A_S1_L001,91,0
DMPX_BM1-N701-A-S502-A_S1_L001,92,0
DMPX_BM1-N701-A-S502-A_S1_L001,93,0
DMPX_BM1-N701-A-S502-A_S1_L001,94,0
DMPX_BM1-N701-A-S502-A_S1_L001,95,0
DMPX_BM1-N701-A-S502-A_S1_L001,96,0
DMPX_BM1-N701-A-S502-A_S1_L001,97,0
DMPX_BM1-N701-A-S502-A_S1_L001,98,2
DMPX_BM1-N701-A-S502-A_S1_L001,99,0
DMPX_BM1-N701-A-S502-A_S1_L001,100,0
DMPX_BM1-N701-A-S502-A_S1_L001,101,0
DMPX_BM1-N701-A-S502-A_S1_L001,102,1
DMPX_BM1-N701-A-S502-A_S1_L001,103,0
DMPX_BM1-N701-A-S502-A_S1_L001,104,0
DMPX_BM1-N701-A-S502-A_S1_L001,105,0
DMPX_BM1-N701-A-S502-A_S1_L001,106,0
DMPX_BM1-N701-A-S502-A_S1_L001,107,0
DMPX_BM1-N701-A-S502-A_S1_L001,108,0
DMPX_BM1-N701-A-S502-A_S1_L001,109,0
DMPX_BM1-N701-A-S502-A_S1_L001,110,0
DMPX_BM1-N701-A-S502-A_S1_L001,111,0
DMPX_BM1-N701-A-S502-A_S1_L001,112,0
DMPX_BM1-N701-A-S502-A_S1_L001,113,0
DMPX_BM1-N701-A-S502-A_S1_L001,114,0
DMPX_BM1-N701-A-S502-A_S1_L001,115,0
DMPX_BM1-N701-A-S502-A_S1_L001,116,0
DMPX_BM1-N701-A-S502-A_S1_L001,117,0
DMPX_BM1-N701-A-S502-A_S1_L001,118,0
DMPX_BM1-N701-A-S502-A_S1_L001,119,0
