unique_id,metrics_group_id,metrics_baseline_control,batch_run_id,batch_sample_id,treatment,day,genotype
20230413_A01.fsa,CC4,NA,20230414,NA,0,29,non-edited
20230413_A02.fsa,CC4,NA,20230414,NA,0,29,non-edited
20230413_A03.fsa,CC4,NA,20230414,NA,0,29,non-edited
20230413_A04.fsa,CC5,NA,20230414,NA,0,29,non-edited
20230413_A05.fsa,CC5,NA,20230414,NA,0,29,non-edited
20230413_A06.fsa,CC5,NA,20230414,NA,0,29,non-edited
20230413_A07.fsa,CC6,NA,20230414,NA,0,29,non-edited
20230413_A08.fsa,CC6,NA,20230414,NA,0,29,non-edited
20230413_A09.fsa,CC6,NA,20230414,NA,0,29,non-edited
20230413_A10.fsa,P3,NA,20230414,NA,0,29,edited
20230413_A11.fsa,P3,NA,20230414,NA,0,29,edited
20230413_A12.fsa,P3,NA,20230414,NA,0,29,edited
20230413_B01.fsa,P6,NA,20230414,NA,0,29,edited
20230413_B02.fsa,P6,NA,20230414,NA,0,29,edited
20230413_B03.fsa,P6,NA,20230414,NA,0,29,edited
20230413_B04.fsa,P14,NA,20230414,NA,0,29,edited
20230413_B05.fsa,P14,NA,20230414,NA,0,29,edited
20230413_B06.fsa,P14,NA,20230414,NA,0,29,edited
20230413_B07.fsa,CC4,NA,20230414,NA,100,29,non-edited
20230413_B08.fsa,CC4,NA,20230414,NA,100,29,non-edited
20230413_B09.fsa,CC4,NA,20230414,NA,100,29,non-edited
20230413_B10.fsa,CC5,NA,20230414,NA,100,29,non-edited
20230413_B11.fsa,CC5,NA,20230414,NA,100,29,non-edited
20230413_B12.fsa,CC5,NA,20230414,NA,100,29,non-edited
20230413_C01.fsa,CC6,NA,20230414,NA,100,29,non-edited
20230413_C02.fsa,CC6,NA,20230414,NA,100,29,non-edited
20230413_C03.fsa,CC6,NA,20230414,NA,100,29,non-edited
20230413_C04.fsa,P3,NA,20230414,NA,100,29,edited
20230413_C05.fsa,P3,NA,20230414,NA,100,29,edited
20230413_C06.fsa,P3,NA,20230414,NA,100,29,edited
20230413_C07.fsa,P6,NA,20230414,NA,100,29,edited
20230413_C08.fsa,P6,NA,20230414,NA,100,29,edited
20230413_C09.fsa,P6,NA,20230414,NA,100,29,edited
20230413_C10.fsa,P14,NA,20230414,NA,100,29,edited
20230413_C11.fsa,P14,NA,20230414,NA,100,29,edited
20230413_C12.fsa,P14,NA,20230414,NA,100,29,edited
20230413_D01.fsa,CC4,NA,20230414,NA,200,29,non-edited
20230413_D02.fsa,CC4,NA,20230414,NA,200,29,non-edited
20230413_D03.fsa,CC4,NA,20230414,NA,200,29,non-edited
20230413_D04.fsa,CC5,NA,20230414,NA,200,29,non-edited
20230413_D05.fsa,CC5,NA,20230414,NA,200,29,non-edited
